"policy_name","Votes ","policy url"
"Extradition - reciprocal between UK and US (provisional)",11,"http://www.publicwhip.org.uk/policy.php?id=1077"
"Faith schools: abolish (provisional)",4,"http://www.publicwhip.org.uk/policy.php?id=1017"
"Fast-track planning (provisional)",9,"http://www.publicwhip.org.uk/policy.php?id=1046"
"Fewer MPs - for (provisional)",5,"http://www.publicwhip.org.uk/policy.php?id=1136"
"Fox hunting - Don't ban (provisional)","17 (2)","http://www.publicwhip.org.uk/policy.php?id=358"
"Gambling - permissive (provisional)",7,"http://www.publicwhip.org.uk/policy.php?id=1066"
"Homosexuality - Not acceptable (provisional)","20 (2)","http://www.publicwhip.org.uk/policy.php?id=808"
"Identity cards - Against introduction (provisional)","36 (11)","http://www.publicwhip.org.uk/policy.php?id=230"
"Identity Cards - In favour (provisional)","12 (3)","http://www.publicwhip.org.uk/policy.php?id=1009"
"Income Tax - Abolish 10% tax bracket (provisional)",4,"http://www.publicwhip.org.uk/policy.php?id=1037"
"Innocent until proven guilty (provisional)","24 (1)","http://www.publicwhip.org.uk/policy.php?id=814"
"Iraq 2003 - Against the invasion (provisional)",6,"http://www.publicwhip.org.uk/policy.php?id=219"
"Iraq 2003 - For disarmament only (provisional)",13,"http://www.publicwhip.org.uk/policy.php?id=962"
"Iraq 2003 - pro-invasion (provisional)",6,"http://www.publicwhip.org.uk/policy.php?id=963"
"Junk (provisional)",3,"http://www.publicwhip.org.uk/policy.php?id=1073"
"Jury trials: sacrosanct (provisional)",2,"http://www.publicwhip.org.uk/policy.php?id=1024"
"Labour Party Abstensions (provisional)",4,"http://www.publicwhip.org.uk/policy.php?id=1111"
"Legalise all adult consensual sex (provisional)","7 (2)","http://www.publicwhip.org.uk/policy.php?id=1076"
"Liberal Democrat party abstentions (provisional)",2,"http://www.publicwhip.org.uk/policy.php?id=797"
"Liberal Democrat policies - agree (provisional)",1,"http://www.publicwhip.org.uk/policy.php?id=1086"
"Local Transport Bill 2007-08 (provisional)",1,"http://www.publicwhip.org.uk/policy.php?id=1045"
"Lords in favour of homosexual equality (provisional)","9 (3)","http://www.publicwhip.org.uk/policy.php?id=1075"
"Me (provisional)","32 (9)","http://www.publicwhip.org.uk/policy.php?id=1108"
"Mental health- easier detention + forced treatment (provisional)","11 (4)","http://www.publicwhip.org.uk/policy.php?id=989"
"Military expansion - Favour (provisional)",7,"http://www.publicwhip.org.uk/policy.php?id=983"
"No to ID Cards (provisional)","5 (3)","http://www.publicwhip.org.uk/policy.php?id=846"
"Notable Divisions (provisional)",16,"http://www.publicwhip.org.uk/policy.php?id=1069"
"Occupational Pensions - For (provisional)",2,"http://www.publicwhip.org.uk/policy.php?id=1134"
"Oppose GM Farming (provisional)","5 (3)","http://www.publicwhip.org.uk/policy.php?id=1125"
"Outlaw irrelevant clauses (provisional)",1,"http://www.publicwhip.org.uk/policy.php?id=795"
"Parliamentary scrutiny - Strengthen (provisional)",12,"http://www.publicwhip.org.uk/policy.php?id=863"
"Pay MPs More (provisional)",8,"http://www.publicwhip.org.uk/policy.php?id=1047"
"Pension auto-enrolment - For (provisional)",3,"http://www.publicwhip.org.uk/policy.php?id=1124"
"Pension fund collapse: bail-out (provisional)",3,"http://www.publicwhip.org.uk/policy.php?id=1022"
"Prisons and probation services: Privatise (provisional)",1,"http://www.publicwhip.org.uk/policy.php?id=1023"
"Private sector in health service - increase (provisional)",2,"http://www.publicwhip.org.uk/policy.php?id=1126"
"Pro American Pro War and Anti-Euro Party (provisional)",1,"http://www.publicwhip.org.uk/policy.php?id=987"
"Pro Science and technology (provisional)",5,"http://www.publicwhip.org.uk/policy.php?id=1040"
"Pro-human rights, pro-democracy (provisional)","19 (1)","http://www.publicwhip.org.uk/policy.php?id=1043"
"Pro-Liberty (provisional)","60 (2)","http://www.publicwhip.org.uk/policy.php?id=825"
"Referendum on Europe (provisional)",4,"http://www.publicwhip.org.uk/policy.php?id=1027"
"Renationalisation of public services (provisional)","6 (4)","http://www.publicwhip.org.uk/policy.php?id=860"
"Scrap Universal Benefits  (provisional)",5,"http://www.publicwhip.org.uk/policy.php?id=1123"
"Selective schools: abolish (provisional)",6,"http://www.publicwhip.org.uk/policy.php?id=1019"
"Sexuality Equalisation (provisional)",1,"http://www.publicwhip.org.uk/policy.php?id=1106"
"Short Notable Divisions (provisional)",4,"http://www.publicwhip.org.uk/policy.php?id=1070"
"Socially Free, Economically Free. True Libertarian (provisional)","3 (2)","http://www.publicwhip.org.uk/policy.php?id=824"
"Stand as an MP based on signatures of support (provisional)","3 (1)","http://www.publicwhip.org.uk/policy.php?id=851"
"Stop climate change (old) (provisional)","9 (5)","http://www.publicwhip.org.uk/policy.php?id=848"
"Supports Government Budgets (provisional)",16,"http://www.publicwhip.org.uk/policy.php?id=1080"
"Taxation - For Progressive Taxation (provisional)",10,"http://www.publicwhip.org.uk/policy.php?id=1082"
"Taxes - Favour decreases (provisional)","13 (7)","http://www.publicwhip.org.uk/policy.php?id=792"
"Taxes - Favour increases (provisional)","4 (2)","http://www.publicwhip.org.uk/policy.php?id=793"
"Temporary and agency workers: Equal rights (provisional)",1,"http://www.publicwhip.org.uk/policy.php?id=1028"
"Terrorism laws - Against (provisional)",75,"http://www.publicwhip.org.uk/policy.php?id=258"
"University tuition fees (provisional)",9,"http://www.publicwhip.org.uk/policy.php?id=1035"
"Vote 'aye' on every division in October 2007 (provisional)","36 (32)","http://www.publicwhip.org.uk/policy.php?id=1007"
"Vote for Radical Change (provisional)","6 (3)","http://www.publicwhip.org.uk/policy.php?id=982"
